ID,Transect,cit_2,riv_2,vill_2,for_2,bft,mar,bm.D,hum_100m,PP_15_2,PP_30_2,sect_2,surv,effort_2,mean_effort_2,D_LT,D_CT,obs_LT,obs_CT,trans_1,cit_1,riv_1,vill_1,for_1,PP_15_1,PP_30_1,effort_1,sect_1,D_1,obs1,mean_effort_1,surv1
14,M1312-M1311,182215.7147,9539.108366,63688.67448,0.4,,,,,1,1,1,1,1100,1075.1,0,,0,-1,14,1.650647044,9119.940625,33281.62266,1,1,1,974,1,32.072,1,1218.3,1
15,M132-M131,188225.3102,21449.16341,32492.49421,0,,,,,1,1,1,1,1000,1075.1,0,,0,-1,15,1.656407544,9110.541829,34428.17904,1,1,1,987,1,0,1,1218.3,1
16,M133-M132,187916.3818,21123.85326,33589.89792,0.866666667,,,,,1,1,1,1,1084,1075.1,40.848,,1,-1,16,1.721419632,15378.7899,40048.19643,0.875,1,1,973,1,0,1,1218.3,1
17,M134-M133,189919.5776,22056.11621,34635.03641,1,,,,,1,1,1,1,1000,1075.1,487.08,,1,-1,17,1.601386443,14315.75336,54579.1697,0.888888889,1,1,1343,1,0,1,1218.3,1
18,M135-M134,193978.7656,25028.96561,37613.35142,0.928571429,,,,,1,1,1,1,1044,1075.1,42.413,,1,-1,18,1.579406083,12452.89834,49966.97188,1,1,1,1327,1,0,1,1218.3,1
19,M136-M135,200447.1205,29242.80033,42441.98672,0.633333333,,,,,1,1,1,1,1100,1075.1,0,,0,-1,19,1.601479613,16629.80236,43961.00841,1,1,1,1851,1,245.45,1,1218.3,1
20,M137-M136,203834.5458,31429.63659,46059.91211,0.966666667,,,,,1,1,1,1,1062,1075.1,125.08,,1,-1,20,1.598394112,18550.78721,40379.22204,0.842105263,1,1,2539,1,147.63,1,1218.3,1
21,M138-M137,206348.8782,29615.6785,48386.21024,0.821428571,,,,,1,1,1,1,1085,1075.1,0,,0,-1,21,1.59676732,19008.98767,36914.26367,0.777777778,1,1,1229,1,0,1,1218.3,1
22,M139-M138,204273.6659,25763.01273,52808.21821,0.6,,,,,1,1,1,1,1081,1075.1,0,,0,-1,22,1.653343272,22207.24902,30174.65234,1,1,1,1031,1,120.91,1,1218.3,1
23,M1510-M159,200041.7188,22810.22798,49531.52249,0.24137931,,,,,0,1,1,1,1130,1075.1,0,,0,-1,23,1.822541997,31889.24588,44400.83247,0.625,1,1,1123,1,168.5,1,1218.3,1
24,M1511-M1510,197416.8944,18567.43838,56238.96185,0.068965517,,,,,0,1,1,1,1090,1075.1,0,,0,-1,24,1.760700285,25088.48535,36010.62256,1,1,1,910,1,0,1,1218.3,1
25,M1512-M1511,191949.736,12468.34512,62398.29518,0,,,,,0,1,1,1,1080,1075.1,0,,0,-1,25,1.84364685,32950.4202,45907.82533,1,1,1,988,1,128.29,1,1218.3,1
26,M1513-M1512,184971.483,7926.875849,65649.85122,0,,,,,0,1,1,1,845,1075.1,0,,0,-1,26,1.833049744,29219.52441,41627.1416,1,1,1,490,1,128.54,1,1218.3,1
27,M152-M151,158702.3911,656.5915458,13867.3577,0,,,,,1,1,1,1,1150,1075.1,0,,0,-1,27,1.825520873,32752.20801,49091.01953,0.25,1,1,499,1,0,1,1218.3,1
28,M153-M152,164943.0884,4268.845672,18474.88735,0,,,,,1,1,1,1,1100,1075.1,0,,0,-1,28,1.83870244,32324.62402,52142.94727,1,1,1,431,1,1134.6,1,1218.3,1
29,M154-M153,173240.1635,9326.846499,24146.83521,0.259259259,,,,,1,1,1,1,1000,1075.1,0,,0,-1,29,1.846126874,29685.67578,54986.98047,1,1,1,744,1,0,1,1218.3,1
30,M155-M154,178604.9245,12838.85202,28154.0694,1,,,,,1,1,1,1,1100,1075.1,0,,0,-1,30,1.846447243,29564.89609,44356.15312,1,1,1,1398,1,0,1,1218.3,1
31,M156-M155,183582.2274,16393.05173,32233.49275,0.774193548,,,,,1,1,1,1,1200,1075.1,0,,0,-1,31,1.792782605,26725.28125,60417.62422,0.4,1,1,562,1,0,1,1218.3,1
32,M157-M156,188039.6345,19217.06681,36291.46323,1,,,,,1,1,1,1,1100,1075.1,161.02,,1,-1,32,1.509286404,2925.15568,17759.00977,0.333333333,1,1,236,1,0,1,1218.3,1
33,M158-M157,192339.5453,22931.97322,40417.43561,1,,,,,1,1,1,1,1170,1075.1,75.692,,1,-1,33,1.548291809,19220.80592,21911.03089,0.315789474,1,1,2522,1,21.381,1,1218.3,1
34,M159-M158,197080.3502,25446.58637,44497.71513,0.785714286,,,,,0,1,1,1,1100,1075.1,0,,0,-1,34,1.725445628,22026.72559,35944.8916,0,1,1,484,1,0,1,1218.3,1
35,M1710-M1711,188318.6836,18618.76447,39219.8911,1,,,,,0,1,1,1,1160,1075.1,152.69,,1,-1,35,1.795204083,20622.39844,47082.96987,0.142857143,1,1,1129,1,0,1,1218.3,1
36,M1711-M1712,194299.2042,23174.90592,43902.4681,0.933333333,,,,,0,1,1,1,1150,1075.1,962.6,,1,-1,36,1.519680598,18365.6218,19893.19176,0.636363636,0,1,1524,1,128.29,1,1218.3,1
37,M1712-M1713,200733.8156,22111.5035,48818.54243,0.678571429,,,,,0,1,1,1,1148,1075.1,0,,0,-1,37,1.606485963,15449.18281,25265.5166,1,0,1,939,1,102.36,1,1218.3,1
38,M1713-M1714,203265.2036,17714.10972,54636.4162,0.032258065,,,,,0,1,1,1,1180,1075.1,0,,0,-1,38,1.725268619,27037.14095,42025.81641,0.857142857,0,1,995,1,0,1,1218.3,1
39,M1714-M1715,195983.5771,11662.46486,61105.73425,0,,,,,0,1,1,1,1140,1075.1,0,,0,-1,39,1.801092931,21318.72963,47776.1942,0.857142857,1,1,916,1,0,1,1218.3,1
40,M171-M172,180873.4273,15447.49661,30581.7222,1,,,,,1,1,1,1,1070,1075.1,41.383,,1,-1,40,1.496899933,17619.37634,21010.83691,1,1,1,1510,1,106.91,1,1218.3,1
41,M172-M173,177024.3188,12305.55632,28753.3403,0.9,,,,,1,1,1,1,1150,1075.1,0,,0,-1,41,1.702432956,25394.77305,41489.06133,0.9,0,1,999,1,63.196,1,1218.3,1
42,M173-M174,175106.5682,10089.27863,27545.27497,0.068965517,,,,,1,1,1,1,1090,1075.1,0,,0,-1,42,1.550334877,15955.0208,17444.33623,0.4,1,1,1481,1,277.96,1,1218.3,1
43,M174-M175,168497.6708,4216.688095,22806.66205,0,,,,,1,1,1,1,1160,1075.1,0,,0,-1,43,1.576117285,19479.53308,24186.99231,0.483870968,1,1,4441,1,7.9083,1,1218.3,1
44,M175-M176,165405.8532,2064.639081,21362.12514,0.071428571,,,,,1,1,1,1,1080,1075.1,0,,0,-1,44,1.673120101,20371.29883,53876.29785,0.5,1,1,492,1,0,1,1218.3,1
45,M177-M178,174301.8377,8066.242487,27972.8108,0.387096774,,,,,1,1,1,1,1200,1075.1,0,,0,-1,45,1.56739637,17358.48757,19075.80078,0.909090909,1,1,1511,1,64.144,1,1218.3,1
46,M178-M1710,181136.9727,13415.62878,33997.65508,1,,,,,1,1,1,1,2220,1075.1,299.19,,1,-1,46,1.627021958,21074.48158,34508.46224,0.666666667,0,1,2254,1,26.805,1,1218.3,1
47,M1910-M1911,188991.4484,17420.83473,40701.26414,1,,,,,0,1,1,1,1150,1075.1,77.008,,1,-1,47,1.595332503,16566.97695,45136.55547,1,1,1,630,1,0,1,1218.3,1
48,M1911-M1912,194931.3825,22378.16557,45658.59488,0.709677419,,,,,0,1,1,1,1000,1075.1,0,,0,-1,48,1.766651034,21933.50179,38568.31641,1,1,1,1001,1,0,1,1218.3,1
49,M1912-M1913,201116.3314,25068.08244,50148.1778,0.586206897,,,,,0,1,1,1,1070,1075.1,0,,0,-1,49,1.570689559,17024.6499,39810.50635,1,1,1,1179,1,184.17,1,1218.3,1
50,M1913-M1914,207616.0229,22600.20144,54829.05859,0.379310345,,,,,0,1,1,1,1130,1075.1,0,,0,-1,50,1.694335401,21897.60059,55555.72266,0.625,1,1,1002,1,33.939,1,1218.3,1
51,M1914-M1915,213398.8729,20207.61977,61150.99471,0,,,,,0,1,1,1,1057,1075.1,0,,0,-1,51,1.721609612,24062.09253,58665.4873,0,1,1,1000,1,0,1,1218.3,1
52,M191-M192,201953.3508,26925.25855,49194.81587,0.310344828,,,,,1,1,1,1,1100,1075.1,483.05,,1,-1,52,1.583217541,16831.50391,43237.4681,0.833333333,1,1,942,1,0,1,1218.3,1
53,M192-M193,194633.8984,22033.67229,45143.0233,1,,,,,1,1,1,1,1048,1075.1,338.01,,1,-1,53,1.51918298,9265.260417,50268.42155,0.666666667,1,1,1555,1,267.78,1,1218.3,1
54,M193-M194,189077.2576,17474.9734,40680.06302,1,,,,,1,1,1,1,1100,1075.1,120.76,,1,-1,54,1.73277545,20980.92812,33388.5457,1,1,1,806,1,0,1,1218.3,1
55,M194-M195,183705.4531,12976.51447,36312.41434,0.892857143,,,,,1,1,1,1,1042,1075.1,467.44,,1,-1,55,1.751802254,22777.54639,35151.30762,1,1,1,583,1,55.012,1,1218.3,1
56,M195-M196,177839.597,8494.180632,32004.27083,0.933333333,,,,,1,1,1,1,1070,1075.1,124.15,,1,-1,56,1.540519476,11558.39717,48823.78633,0.7,1,1,1071,1,27.768,1,1218.3,1
57,M196-M197,171918.0706,3828.702685,27679.04771,0.714285714,,,,,1,1,1,1,1050,1075.1,42.171,,1,-1,57,1.561300865,12632.92766,20706.92458,0.769230769,1,1,1843,1,16.678,1,1218.3,1
58,M197-M198,169893.279,2534.703383,26225.93862,0,,,,,1,1,1,1,1175,1075.1,0,,0,-1,58,1.581504226,13966.62751,23470.26339,0.714285714,1,1,978,1,0,1,1218.3,1
59,M198-M199,176570.9241,7732.540251,31016.51152,0.566666667,,,,,1,1,1,1,1031,1075.1,0,,0,-1,59,1.603365165,15735.33171,24591.75964,0.6,1,1,1925,1,347.75,1,1218.3,1
60,M199-M1910,183077.8644,12700.99751,35981.42645,0.827586207,,,,,1,1,1,1,1085,1075.1,0,,0,-1,60,1.494723797,16517.64886,31394.94019,1,1,1,2398,1,83.702,1,1218.3,1
61,M2110-M219,181458.0475,8887.567196,36356.92532,0.882352941,,,,,1,1,1,1,1200,1075.1,0,,0,-1,61,1.462552923,15951.24422,26021.13627,0.692307692,1,1,1715,1,17.788,1,1218.3,1
62,M2112-M2110,190561.2727,15822.90959,43291.07024,1,,,,,0,1,1,1,2000,1075.1,66.419,,1,-1,62,1.431598745,15270.90999,24599.28917,0.555555556,1,1,2482,1,117.72,1,1218.3,1
63,M2113-M2112,200554.0502,20999.15931,50695.91549,0.4,,,,,0,1,1,1,1040,1075.1,0,,0,-1,63,1.521430895,4401.151672,17948.94641,0.625,1,1,1110,1,382.16,1,1218.3,1
64,M2114-M2113,207345.3848,16816.58897,56583.36476,0.517241379,,,,,0,1,1,1,1000,1075.1,0,,0,-1,64,1.656227708,12137.68245,31600.72852,1,1,1,890,1,208.26,1,1218.3,1
65,M2115-M2114,206727.8896,12725.56473,60147.65165,0.535714286,,,,,0,1,1,1,1000,1075.1,0,,0,-1,65,1.591646224,7315.510803,26493.13184,0.875,1,1,1055,1,178.18,1,1218.3,1
66,M212-M211,205333.7974,26038.67558,51453.46808,0.034482759,,,,,1,1,1,1,1050,1075.1,0,,0,-1,66,1.729560351,17994.31406,39050.84062,0.4,1,1,685,1,0,1,1218.3,1
67,M213-M212,201170.7453,24438.5474,51138.36523,0.866666667,,,,,1,1,1,1,1080,1075.1,164,,1,-1,67,1.601417997,9833.451538,25151.21012,0.583333333,1,1,1659,1,0,1,1218.3,1
68,M214-M213,195250.3475,20077.46506,46862.34693,1,,,,,1,1,1,1,1036,1075.1,0,,0,-1,68,1.633107368,11832.39569,27997.35315,1,1,1,2245,1,0,1,1218.3,1
69,M215-M214,189200.4471,15735.20544,42538.15794,1,,,,,1,1,1,1,1100,1075.1,0,,0,-1,69,1.705986551,15576.6193,37523.73503,0.833333333,1,1,1150,1,28.133,1,1218.3,1
70,M216-M215,183030.5837,10762.32446,37703.48866,0.733333333,,,,,1,1,1,1,1100,1075.1,80.508,,1,-1,70,1.686718762,13343.01367,36260.05469,1,0,1,612,1,53.453,1,1218.3,1
71,M217-M216,177505.8518,6049.203561,33455.08315,1,,,,,1,1,1,1,1075,1075.1,0,,0,-1,71,1.767959476,20867.47852,43089.00781,0.5,1,1,421,1,350.13,1,1218.3,1
72,M218-M217,172496.6394,1723.82617,29469.47688,0.387096774,,,,,1,1,1,1,1100,1075.1,0,,0,-1,72,1.780027986,21828.04883,44373.02832,1,0,1,646,1,53.812,1,1218.3,1
73,M219-M218,175373.7193,4279.707426,31856.80208,0.7,,,,,1,1,1,1,1037,1075.1,0,,0,-1,73,1.728818695,17478.83428,39879.5649,0.666666667,1,1,1713,1,18.866,1,1218.3,1
74,M31-M32,166703.3708,15038.82237,16805.57067,0.296296296,,,,,1,1,1,1,1000,1075.1,885.59,,1,-1,74,1.635179619,9867.138463,28418.38365,0,1,1,908,1,0,1,1218.3,1
75,M32-M33,165036.2662,17726.24623,19629.02317,0.965517241,,,,,1,1,1,1,973,1075.1,364.07,,1,-1,75,1.585817834,6144.973563,26970.92969,0.285714286,1,1,818,1,238.45,1,1218.3,1
76,M33-M34,160847.3577,16645.08172,23418.69461,0.678571429,,,,,1,1,1,1,1100,1075.1,0,,0,-1,76,1.628909469,16555.71362,60814.40332,1,1,1,782,1,81.712,1,1218.3,1
77,M34-M35,157139.8721,13849.06507,27389.43996,0.37037037,,,,,1,1,1,1,1050,1075.1,0,,0,-1,77,1.63469977,16037.49927,63498.54102,1,1,1,1291,1,122.69,1,1218.3,1
78,M51-M52,170889.5294,15856.37637,17679.27485,0.740740741,,,,,1,1,1,1,1000,1075.1,132.84,,1,-1,78,1.656490391,14691.11857,65790.32064,1,1,1,1759,1,0,1,1218.3,1
79,M52-M53,174633.687,19447.35439,21270.08412,0.931034483,,,,,1,1,1,1,1030,1075.1,171.96,,1,-1,79,1.620109749,6327.621853,60894.43056,0.888888889,1,1,985,1,0,1,1218.3,1
80,M53-M54,174748.1595,23212.16581,26619.82443,0.214285714,,,,,1,1,1,1,1090,1075.1,0,,0,-1,80,1.53341642,13410.37,42460.10254,1,1,1,1308,1,97.188,1,1218.3,1
81,M54-M55,173060.418,20574.02897,31687.7168,0.366666667,,,,,1,1,1,1,1100,1075.1,0,,0,-1,81,1.515779197,11575.32017,46269.09263,0.857142857,1,1,809,1,164.05,1,1218.3,1
82,M55-M56,169608.5492,17626.04795,35031.8916,0.157894737,,,,,1,1,1,1,700,1075.1,0,,0,-1,82,1.679711914,21800.70977,30952.74453,1,1,1,736,1,0,1,1218.3,1
83,M710-M79,155313.3203,3387.563913,46891.9933,0.214285714,,,,,1,1,1,1,456,1075.1,0,,0,-1,83,1.69075426,22786.07952,32007.64955,1,1,1,843,1,116.48,1,1218.3,1
84,M72-M71,169612.9368,10792.92775,20111.34033,0.535714286,,,,,1,1,1,1,1035,1075.1,0,,0,-1,84,1.694416112,24419.8404,34327.78348,1,1,1,1161,1,305.45,1,1218.3,1
85,M73-M72,174912.1991,14426.56611,23773.14611,0.740740741,,,,,1,1,1,1,1050,1075.1,0,,0,-1,85,1.363804301,11156.35938,30554.06417,0.428571429,1,1,971,1,0,1,1218.3,1
86,M74-M73,182217.4693,20418.23158,29764.81166,0.25,,,,,1,1,1,1,1000,1075.1,0,,0,-1,86,1.856360499,33210.55127,85387.65234,1,0,1,1400,2,63.355,1,1400,2
87,M75-M74,179341.63,21540.65516,34941.70631,0.642857143,,,,,1,1,1,1,1100,1075.1,644.07,,1,-1,87,1.797235394,45633.44206,65657.92546,1,0,1,1400,2,63.355,1,1400,2
88,M76-M75,173080.6992,17044.01805,38643.21404,1,,,,,1,1,1,1,1030,1075.1,386.91,,1,-1,88,1.697018825,34772.64931,51463.48698,1,1,1,1400,2,126.71,1,1400,2
89,M77-M76,167382.4796,12845.22046,42867.15262,0.928571429,,,,,1,1,1,1,1000,1075.1,0,,0,-1,89,1.649188888,29947.9646,32909.16858,1,1,1,1400,2,126.71,1,1400,2
90,M78-M77,163171.2462,9188.519009,47518.25539,0.620689655,,,,,1,1,1,1,1020,1075.1,0,,0,-1,90,1.524464677,23546.31419,30051.34544,1,1,1,1400,2,0,1,1400,2
91,M79-M78,158970.7133,5758.149379,48831.16211,0,,,,,1,1,1,1,1000,1075.1,0,,0,-1,91,1.475442958,18781.84466,12972.78203,0.875,1,1,1400,2,126.71,1,1400,2
92,M91-M92,182718.6302,16172.60041,30526.79167,0.111111111,,,,,1,1,1,1,1000,1075.1,487.08,,1,-1,92,1.789089886,36738.95923,25016.87708,1,0,1,1400,2,126.71,1,1400,2
93,M92-M93,190391.9604,21997.78802,36071.13926,0.206896552,,,,,1,1,1,1,1060,1075.1,0,,0,-1,93,1.864996813,46781.96753,44215.3833,1,0,1,1400,2,0,1,1400,2
94,M93-M94,192843.6519,26427.05678,38088.97562,0.344827586,,,,,1,1,1,1,1000,1075.1,797.03,,1,-1,94,1.773307353,23363.42292,59264.31484,1,0,0,1400,2,0,1,1400,2
95,M94-M95,186963.0191,24843.09773,39162.73479,0.535714286,,,,,1,1,1,1,1025,1075.1,0,,0,-1,95,1.604047644,17193.96289,62483.58594,1,0,1,1400,2,0,1,1400,2
96,M95-M96,182191.8544,21089.28802,42122.03585,0.357142857,,,,,1,1,1,1,1000,1075.1,0,,0,-1,96,1.517244279,22263.58752,48037.02881,1,0,1,1400,2,0,1,1400,2
97,M96-M97,176952.5191,16426.41699,45476.00725,0.75,,,,,1,1,1,1,1070,1075.1,0,,0,-1,97,1.441511303,12204.97715,29112.13711,0.75,1,1,1400,2,190.06,1,1400,2
98,M97-M98,172982.2517,11521.44491,49553.10749,0.965517241,,,,,1,1,1,1,1028,1075.1,0,,0,-1,98,1.408143687,8322.392839,12186.53535,1,1,1,1400,2,0,1,1400,2
99,M98-M99,168274.1659,7509.576576,54074.12271,0.379310345,,,,,1,1,1,1,1061,1075.1,0,,0,-1,99,1.306746819,2566.950116,10893.2172,1,1,1,1400,2,63.355,1,1400,2
100,M99-M910,162089.0142,3201.335957,55362.58239,0,,,,,1,1,1,1,764,1075.1,0,,0,-1,100,1.486338285,1361.448629,31462.13847,1,1,1,1400,2,0,1,1400,2
101,14,142857.0969,4556.841449,72147.13882,0.576923077,0.545,0.485,0,0.2,0,0,2,3,1000,991.4,0,0,0,0,101,1.747310348,25352.32813,46113.52832,1,0,1,1400,2,253.42,1,1400,2
102,22,144077.4887,1619.539182,73955.95944,0.076923077,0.182,0.364,0,0,0,0,2,3,750,991.4,41.854,0,1,0,102,2.068840433,51667.64556,63136.6616,0.682179398,0,1,1400,2,0,1,1400,2
103,23,151814.4961,19350.82888,74189.93389,1,0,0.417,0,0,0,1,2,3,1000,991.4,0,0,0,0,103,2.049374071,46553.53278,82446.51511,0.71389408,0,0,1400,2,0,1,1400,2
104,24,133565.4206,8825.709269,53533.3195,1,0.083,0.333,273.87,0,0,1,2,3,1000,991.4,0,3.3652,0,1,104,1.516116103,7002.509562,53289.78418,1,0,1,1400,2,0,0,1400,2
105,26,131900.3516,20579.64716,78989.23287,1,0.107,0.393,0,0,0,1,2,3,1000,991.4,0,13.321,0,1,105,1.293876982,3806.366992,32092.68008,0.066666667,0,1,1400,2,0,1,1400,2
106,27,127772.9978,23320.31235,72087.814,1,0.381,0.476,0,0.1,0,1,2,3,1000,991.4,596.42,19.923,1,1,106,1.397763222,15637.24401,35682.54688,0.8,1,1,1400,2,126.71,1,1400,2
107,28,120084.3753,23284.61475,60864.31624,1,0,0.545,136.93,0.4,0,1,2,3,1000,991.4,0,0,0,0,107,1.268222785,16511.88574,18074.90613,0.875,1,1,1400,2,63.355,1,1400,2
108,29,101249.8613,15471.00661,43722.82317,1,0.586,0.552,136.93,0.5,0,1,2,3,1000,991.4,313.9,0.091,1,1,108,1.478867322,22486.37939,24656.23877,1,1,1,1400,2,126.71,1,1400,2
109,30,87053.45531,7226.514592,26603.0909,0,0,0.429,0,0,1,1,2,3,1000,991.4,0,0,0,0,109,1.679649463,25937.13391,46406.49463,0,1,1,1400,2,0,1,1400,2
110,38,161253.9744,11536.26581,90253.48257,1,0,0.476,0,0,0,1,2,3,1000,991.4,0,0,0,0,110,1.863295585,33656.06384,67411.99902,1,0,1,1400,2,190.06,1,1400,2
111,39,178683.5607,40795.40445,79740.44621,1,0,0.304,0,0.2,0,1,2,3,1000,991.4,62.781,1.7805,1,1,111,2.169027503,55658.89917,84962.7749,0.8125,0,1,1400,2,126.71,1,1400,2
112,40,152333.8385,19171.54655,53549.18555,1,0,0.526,0,0.1,0,1,2,3,1000,991.4,0,0,0,0,112,2.437481801,53566.53589,100047.7021,0,0,0,1400,2,0,1,1400,2
113,41,150297.122,13029.60532,46496.4683,0,0,0.375,0,0.2,0,1,2,3,1000,991.4,0,0,0,0,113,1.564107239,32148.61719,68674.14303,1,0,1,1400,2,0,1,1400,2
114,42,162664.9304,46253.05529,62299.66842,0.807692308,0.115,0.462,0,0.1,1,1,2,3,1000,991.4,0,0,0,0,114,1.423415065,21798.37095,42505.70424,1,1,1,1400,2,0,1,1400,2
115,43,136668.7431,48603.48212,55386.68705,1,0,0.636,0,0.3,1,1,2,3,1000,991.4,345.29,0,1,0,115,1.176273592,2527.951168,14298.12056,0.272727273,1,1,1400,2,0,1,1400,2
116,44,115059.9301,49186.39535,52305.83529,0.625,0,0.25,91.29,0.1,0,1,2,3,1000,991.4,0,0,0,0,116,1.157648653,10909.96419,16593.70752,1,1,1,1400,2,253.42,1,1400,2
117,45,86973.76696,34792.55349,45271.10532,0.961538462,1,0.56,410.8,0.2,0,1,2,3,1000,991.4,313.9,0,1,0,117,1.453536554,40728.38099,46238.73099,1,1,1,1400,2,63.355,1,1400,2
118,46,78754.8724,19405.19156,29883.74301,0.807692308,1,0.48,0,0,1,1,2,3,1000,991.4,408.07,0,1,0,118,1.781366638,52672.63721,63365.77319,1,1,1,1400,2,0,1,1400,2
119,47,83895.42122,15236.4796,25715.03133,0.230769231,0.563,0.313,0,0.2,1,1,2,3,1000,991.4,0,0.42027,0,1,119,2.10542891,57282.65088,88783.16992,1,0,1,1400,2,63.355,1,1400,2
120,56,188678.1617,43301.73843,61339.16902,1,0,0.556,136.93,0,0,1,2,3,1000,991.4,0,0,0,0,120,2.318915129,36573.72301,105084.407,0.916666667,0,1,1400,2,190.06,1,1400,2
121,57,153632.605,19337.01164,40323.993,1,0.333,0.5,0,0,0,1,2,3,1000,991.4,408.07,0,1,0,121,2.318333328,23582.48438,123092.3516,0,0,0,1400,2,0,1,1400,2
122,58,136436.3737,8362.021635,31763.38379,0.538461538,0,0.576,0,0.1,1,1,2,3,1000,991.4,0,0,0,0,122,1.456058979,36974.62656,70502.20625,1,1,1,1400,2,190.06,1,1400,2
123,59,150532.5793,28488.13822,38158.41662,1,0.19,0.667,0,0.0998002,1,1,2,3,1001,991.4,282.23,0,1,0,123,1.298918724,41645.3875,37218.67578,1,1,1,1400,2,190.06,1,1400,2
124,60,116368.4659,35558.73828,30401.53824,1,0,0.64,0,0.1,1,1,2,3,1000,991.4,0,0,0,0,124,1.121318992,9893.141357,5519.442627,1,1,1,1400,2,0,1,1400,2
125,61,99749.34,37795.993,32638.79256,0.666666667,1,0.478,0,0.3,1,1,2,3,1000,991.4,0,5.1903,0,1,125,1.299813188,19161.17773,24348.09641,1,1,1,1400,2,63.355,1,1400,2
126,62,111069.0442,52975.08859,62821.37703,1,1,0.611,0,0,0,1,2,3,1000,991.4,31.39,0.55896,1,1,126,1.593450464,28025.68685,53735.15677,1,1,1,1400,2,0,1,1400,2
127,64,113154.9606,39251.78966,49730.34135,1,0.235,0.529,136.93,0.1,1,1,2,3,1000,991.4,0,0,0,0,127,1.926789609,30409.38184,84065.16172,1,0,1,1400,2,0,1,1400,2
128,66,92704.37375,9540.165117,15713.35277,1,0.682,0.5,0,0.6,1,1,2,3,1000,991.4,0,0,0,0,128,2.200941849,28841.23562,104692.6122,1,0,1,1400,2,63.355,1,1400,2
129,74,196737.7137,30803.05995,69063.74609,1,0.81,0.63,273.87,0.350105263,0,1,2,3,950,991.4,165.21,0,1,0,129,2.164440379,13980.61267,124084.9961,1,0,1,1400,2,63.355,1,1400,2
130,75,182368.6106,36495.98332,49479.79447,1,0.67,0.2,0,0,1,1,2,3,1000,991.4,251.12,0,1,0,130,2.13027232,8188.254608,115750.0264,0.6875,0,0,1400,2,126.71,1,1400,2
131,76,147715.9544,9833.469991,25674.57609,0.666666667,0,0.57,0,0.1,1,1,2,3,1000,991.4,188.34,0.29357,1,1,131,1.316835932,38996.07056,63618.14771,1,1,1,1400,2,0,1,1400,2
